Date,Open,High,Low,Close,Adj Close,Volume,US Overdose Deaths
2022-01-04,225.75999450683597,228.8000030517578,224.25,227.83999633789065,211.8094024658203,2491700,4
2022-01-05,227.0399932861328,229.8699951171875,224.5200042724609,225.13999938964844,209.29937744140625,2806000,6
2022-01-06,225.13999938964844,226.66000366210935,223.69000244140625,225.1699981689453,209.32725524902344,2198300,4
2022-01-07,223.5399932861328,228.19000244140625,223.5399932861328,227.2899932861328,211.2981414794922,2343000,2
2022-01-10,229.25,230.63999938964844,226.0,230.3699951171875,214.16140747070312,3191900,5
2022-01-11,230.47000122070312,232.50999450683597,228.1100006103516,232.3800048828125,216.02999877929688,2317900,1
2022-01-12,232.3800048828125,232.6100006103516,228.5200042724609,231.75999450683597,215.45361328125,1885800,3
2022-01-13,232.0500030517578,233.22999572753903,230.3300018310547,230.8500061035156,214.60763549804688,2152900,6
2022-01-14,230.69000244140625,235.8000030517578,229.9900054931641,235.3600006103516,218.80029296875,3012000,2
2022-01-18,233.5200042724609,234.7700042724609,231.6999969482422,233.8300018310547,217.37796020507807,3720400,6
2022-01-19,233.8000030517578,234.3300018310547,230.6999969482422,231.3000030517578,215.02598571777344,2061200,4
2022-01-20,233.72999572753903,233.72999572753903,228.80999755859372,228.8999938964844,212.7948303222656,2093700,4
2022-01-21,230.6000061035156,231.4600067138672,227.30999755859372,227.72000122070312,211.69786071777344,3534800,2
2022-01-24,227.47999572753903,229.13999938964844,219.97999572753903,226.0800018310547,210.1732940673828,4419100,1
2022-01-25,223.67999267578125,227.5,222.2700042724609,225.0399932861328,209.20640563964844,2769900,2
2022-01-26,221.6199951171875,226.92999267578125,221.1199951171875,222.5399932861328,206.88232421875,2861600,6
2022-01-28,224.0500030517578,229.1499938964844,222.25,229.13999938964844,213.01792907714844,2502100,3
2022-01-31,226.97999572753903,227.94000244140625,225.5200042724609,227.13999938964844,211.15869140625,4504300,6
2022-02-01,227.13999938964844,229.1999969482422,225.5200042724609,228.67999267578125,212.5903167724609,2498200,2
2022-02-02,228.13999938964844,229.13999938964844,225.7400054931641,228.92999267578125,212.8227386474609,2397800,4
2022-02-03,228.66000366210935,229.0,223.75,224.0399932861328,208.2767639160156,3002400,4
